,NumberOfInstances,LogNumberOfInstances,NumberOfClasses,NumberOfFeatures,LogNumberOfFeatures,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfMissingValues,PercentageOfMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,ClassEntropy
23,1473.0,7.29505641646263,3.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.25,4.0,0.006109979633401222,-5.097831839126411,163.66666666666666,5.097831839126411,0.22606924643584522,0.4270196877121521,0.3333333333333333,0.08259756282743058,2.0,4.0,3.142857142857143,0.989743318610787,22.0,-0.9447641041684713,1.5203487803093525,0.2877923380704406,1.232556442238912,0.25618798167170126,1.0978944705751605,0.6770412261234309,0.4208532444517296,1.5390345832497476
180,110393.0,11.611802005017799,7.0,54.0,3.9889840465642745,0.0,0.0,0.0,0.0,0.0,0.0,14.0,41.0,0.34146341463414637,2.9285714285714284,0.0004891614504542861,-7.622817958453523,2044.3148148148148,7.622817958453523,0.012129392262190538,0.4681637422662669,0.14285714285714285,0.17265137361915808,2.0,2.0,2.0,0.0,80.0,-1.9544718378598795,14.482809926442048,2.3525585069683,4.543284669238093,-1.196709401896367,4.059902699134802,0.7713059676311034,1.4952356651527008,1.8696597146338134
181,1484.0,7.302496423727326,10.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.125,0.005390835579514825,-5.22305488204749,185.5,5.22305488204749,0.0033692722371967657,0.3119946091644205,0.1,0.11100745284408914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4904176362327277
182,6430.0,8.768729817231666,6.0,36.0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,36.0,0.027777777777777776,0.005598755832037325,-5.185210878775555,178.61111111111111,5.185210878775555,0.09720062208398134,0.23810264385692068,0.16666666666666666,0.06190397693688873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4833618760456604
28,5620.0,8.634086942887738,10.0,64.0,4.1588830833596715,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,64.0,0.015625,0.011387900355871887,-4.475203859528065,87.8125,4.475203859528065,0.09857651245551602,0.10177935943060498,0.09999999999999999,0.001150407820302107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321832724866766
30,5473.0,8.607582191143917,5.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,0.0018271514708569341,-6.304997098149872,547.3,6.304997098149872,0.0051160241183994155,0.8976795176320117,0.2,0.3493331771572183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6354628258660037
31,1000.0,6.907755278982137,2.0,20.0,2.995732273553991,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.5,2.0,0.02,-3.912023005428146,50.0,3.912023005428146,0.3,0.7,0.5,0.19999999999999998,2.0,10.0,4.153846153846154,1.9551176964828976,54.0,-1.3805449294715695,4.265163377213492,0.9136685975028616,1.7765516638482737,-0.5305507598158565,1.946702018941924,0.9189979813883815,0.9035938958246407,0.8812908992306927
32,10992.0,9.30492301446213,10.0,16.0,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,16.0,0.0625,0.001455604075691412,-6.532334292222349,687.0,6.532334292222349,0.09597889374090247,0.10407569141193596,0.1,0.004003283362348256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.320771738890595
183,4177.0,8.337348564497175,28.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.5,0.2857142857142857,0.0019152501795547043,-6.2579070228173395,522.125,6.2579070228173395,0.00023940627244433804,0.1649509217141489,0.03571428571428571,0.04957498263292657,3.0,3.0,3.0,0.0,3.0,-0.04685725781261718,75.93309871329375,11.018514540260009,26.50236596981285,-0.6396434615451078,3.127693679207538,0.6201459731268175,1.1590732625814555,3.6020071476229063
36,2310.0,7.745002803515839,7.0,19.0,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,19.0,0.05263157894736842,0.008225108225108226,-4.800563824349399,121.57894736842105,4.800563824349399,0.14285714285714285,0.14285714285714285,0.14285714285714282,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8073549220576037
37,768.0,6.643789733147672,2.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.125,0.010416666666666666,-4.564348191467836,96.0,4.564348191467836,0.3489583333333333,0.6510416666666666,0.5,0.15104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9331343166407832
39,336.0,5.817111159963204,8.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.020833333333333332,-3.871201010907891,48.0,3.871201010907891,0.005952380952380952,0.4255952380952381,0.125,0.13568621785779603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1887455831912255
40,208.0,5.337538079701318,2.0,60.0,4.0943445622221,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,60.0,0.016666666666666666,0.28846153846153844,-1.2431935174792175,3.466666666666667,1.2431935174792172,0.46634615384615385,0.5336538461538461,0.5,0.033653846153846145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967295890208366
41,214.0,5.365976015021851,6.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,9.0,0.1111111111111111,0.04205607476635514,-3.168751437685632,23.77777777777778,3.168751437685632,0.04205607476635514,0.35514018691588783,0.16666666666666666,0.12687774038740293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1765339923982
43,306.0,5.723585101952381,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.00980392156862745,-4.624972813284271,102.0,4.624972813284271,0.2647058823529412,0.7352941176470589,0.5,0.23529411764705885,12.0,12.0,12.0,0.0,12.0,-0.5993503663451287,11.520526879502375,5.460588256578623,6.0599386229237515,0.1457859143161024,2.96917635951466,1.5574811369153811,1.4116952225992787,0.833764907210665
44,4601.0,8.434028950155469,2.0,57.0,4.04305126783455,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,57.0,0.017543859649122806,0.01238861117148446,-4.390977682320918,80.71929824561404,4.390977682320918,0.39404477287546186,0.6059552271245382,0.5,0.10595522712453817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9673602371807668
48,151.0,5.017279836814924,3.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.033112582781456956,-3.407841924380824,30.2,3.407841924380824,0.32450331125827814,0.3443708609271523,0.3333333333333333,0.008259729330626795,2.0,2.0,2.0,0.0,4.0,-1.1558166215543935,-0.37554834552280747,-0.6852522004135958,0.33824225734033786,-0.00822999829819947,0.8614987301054458,0.448870304830061,0.35645507074756394,1.5845209168501238
53,270.0,5.598421958998375,2.0,13.0,2.5649493574615367,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,13.0,0.07692307692307693,0.04814814814814815,-3.033472601536838,20.76923076923077,3.033472601536838,0.4444444444444444,0.5555555555555556,0.5,0.05555555555555558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9910760598382222
54,846.0,6.740519359606223,4.0,18.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,18.0,0.05555555555555555,0.02127659574468085,-3.8501476017100584,47.0,3.8501476017100584,0.23522458628841608,0.2576832151300236,0.25,0.00894370328039098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999066765534363
59,351.0,5.860786223465865,2.0,34.0,3.5263605246161616,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,34.0,0.029411764705882353,0.09686609686609686,-2.3344256988497043,10.323529411764707,2.3344256988497043,0.358974358974359,0.6410256410256411,0.5,0.14102564102564105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9418285354475157
60,5000.0,8.517193191416238,3.0,40.0,3.6888794541139363,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,40.0,0.025,0.008,-4.8283137373023015,125.0,4.8283137373023015,0.3306,0.3384,0.3333333333333333,0.003586394041683389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5848792049207137
61,150.0,5.0106352940962555,3.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.25,0.02666666666666667,-3.624340932976365,37.5,3.624340932976365,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156
62,101.0,4.61512051684126,7.0,17.0,2.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.058823529411764705,17.0,0.16831683168316833,-1.7819071727850433,5.9411764705882355,1.7819071727850435,0.039603960396039604,0.40594059405940597,0.14285714285714285,0.11820414379505619,2.0,100.0,8.125,23.72202299552043,130.0,-0.6282263798057874,-0.6282263798057874,-0.6282263798057874,0.0,0.1373478001221,0.1373478001221,0.1373478001221,0.0,2.390559682294039
251,39366.0,10.580657778572933,2.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,9.0,0.1111111111111111,0.00022862368541380886,-8.383433201236713,4374.0,8.383433201236713,0.344104049179495,0.655895950820505,0.5,0.155895950820505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9286919590843379
255,55296.0,10.920455852163727,3.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.25,4.0,0.00016276041666666666,-8.723231274827508,6144.0,8.723231274827508,0.22509765625,0.42619719328703703,0.3333333333333333,0.08281495646128881,2.0,4.0,3.142857142857143,0.989743318610787,22.0,-0.9564535271653138,0.7705009487969674,-0.09297628918417322,0.8634772379811406,0.2596793547194968,1.01026546814073,0.6349724114301134,0.3752930567106165,1.5386700242390772
478,500.0,6.214608098422191,15.0,23.0,3.1354942159291497,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,5.0,0.2,0.046,-3.079113882493042,21.73913043478261,3.079113882493042,0.012,0.16,0.06666666666666668,0.04104414967108251,1.0,500.0,172.0,232.0014367771602,516.0,-1.2000096000384002,29.3171580183516,3.719867377006345,7.294668366369468,-0.06805469209789632,4.207797850482731,1.1538278831622806,1.0682475085007086,3.6485620760127775
480,61.0,4.110873864173311,4.0,18.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.1111111111111112,0.9,0.29508196721311475,-1.2205021062771466,3.388888888888889,1.2205021062771466,0.04918032786885246,0.639344262295082,0.25,0.23252554020498825,4.0,10.0,7.5,2.0,60.0,-1.1646474334582733,1.7096752389849756,-0.01695299805223822,0.9665974121020066,-0.2923446867836652,1.5298423398629326,0.622729607906187,0.5925896713535607,1.4307198723505536
179,48842.0,10.79634587742716,2.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.15384615384615385,6.5,0.00028663854878997584,-8.157288547811902,3488.714285714286,8.157288547811902,0.23928176569346055,0.7607182343065395,0.5,0.26071823430653945,2.0,42.0,10.166666666666666,10.406995510499444,122.0,0.6255583739336319,6.057105240227166,3.3413318070803992,2.7157734331467673,-0.3165151356965018,1.438847687943433,0.5611662761234657,0.8776814118199674,0.7938438393644256
694,310.0,5.736572297479192,9.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.125,0.025806451612903226,-3.657130755799356,38.75,3.657130755799356,0.05806451612903226,0.13225806451612904,0.1111111111111111,0.02716458110608805,47.0,47.0,47.0,0.0,47.0,-1.2575249624587403,0.5794935327003286,-0.6937640357053947,0.6782422490749259,-0.3297509435514715,0.7888728635823559,0.1365047390321956,0.3774070251260265,3.120903063728351
259,295245.0,12.595560799115198,5.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,3.387017561686057e-05,-10.292975706121151,29524.5,10.292975706121151,0.005033108096665481,0.8981489949025385,0.19999999999999998,0.34955840437785274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6335067026216339
1527,3252.0,8.087025470667701,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.0009225092250922509,-6.988413181999592,1084.0,6.988413181999592,0.01783517835178352,0.9077490774907749,0.2,0.3538913190158662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6265484288655646
151,45312.0,10.721327177053391,2.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.5,0.2857142857142857,0.00017655367231638418,-8.641885635373555,5664.0,8.641885635373555,0.4245453742937853,0.5754546257062146,0.5,0.07545462570621467,7.0,7.0,7.0,0.0,7.0,-1.3181243702493435,7046.996485449294,1029.0568469815223,2457.4255705293644,-0.16580903665132293,78.68440206128668,12.617694991085601,27.149381087315902,0.9835093906057097
265,137781.0,11.8334207470683,7.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,9.0,0.1111111111111111,6.532105297537396e-05,-9.63619616973208,15309.0,9.63619616973208,0.0022717210645880055,0.35399655975787664,0.14285714285714285,0.12964548116822608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2028151861742202
275,71.0,4.2626798770413155,6.0,62.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,62.0,0.016129032258064516,0.8732394366197183,-0.13554549199622393,1.1451612903225807,0.13554549199622395,0.028169014084507043,0.5915492957746479,0.16666666666666666,0.19658135323046327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7870659855526847
276,74.0,4.30406509320417,4.0,62.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,62.0,0.016129032258064516,0.8378378378378378,-0.17693070815907821,1.1935483870967742,0.17693070815907824,0.04054054054054054,0.6756756756756757,0.25,0.2547037408779833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3100298863676454
277,74.0,4.30406509320417,4.0,62.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,62.0,0.016129032258064516,0.8378378378378378,-0.17693070815907821,1.1935483870967742,0.17693070815907824,0.06756756756756757,0.6081081081081081,0.25,0.2111959406498349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5437063431025682
278,74.0,4.30406509320417,4.0,62.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,62.0,0.016129032258064516,0.8378378378378378,-0.17693070815907821,1.1935483870967742,0.17693070815907824,0.04054054054054054,0.7297297297297297,0.25,0.27867014361217946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2358298841158204
161,1000000.0,13.815510557964274,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,3e-06,-12.716898269296165,333333.3333333333,12.716898269296165,0.385658,0.614342,0.5,0.11434200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9619402610571802
162,1000000.0,13.815510557964274,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,3e-06,-12.716898269296165,333333.3333333333,12.716898269296165,0.385668,0.614332,0.5,0.11433199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9619469779525159
1,898.0,6.8001700683022,5.0,38.0,3.6375861597263857,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,0.18181818181818182,5.5,0.042316258351893093,-3.162583908575814,23.63157894736842,3.162583908575814,0.008908685968819599,0.7616926503340757,0.2,0.28282850691819206,1.0,8.0,2.4375,1.4347800354061246,78.0,-0.9736525543012844,13.1353349223076,4.6155107992944915,5.880869964748683,0.07286850606115187,3.755315751724777,2.0235951904604295,1.3345995367798529,1.1898338562043977
759,66.0,4.189654742026425,2.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,5.5,0.18181818181818182,0.18181818181818182,-1.7047480922384253,5.5,1.7047480922384253,0.5,0.5,0.5,0.0,66.0,66.0,66.0,0.0,66.0,-0.857149574865415,25.764345407893074,8.025804418885498,8.790338084540133,-0.027032121572326543,5.066212470306548,2.2926945493399327,1.613431758420397,1.0
6,20000.0,9.903487552536127,26.0,16.0,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,16.0,0.0625,0.0008,-7.1308988302963465,1250.0,7.1308988302963465,0.0367,0.04065,0.038461538461538464,0.0011362309228581885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.699810726573158
10,148.0,4.997212273764115,4.0,18.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.1875,5.333333333333333,0.12162162162162163,-2.10684051586795,8.222222222222221,2.10684051586795,0.013513513513513514,0.5472972972972973,0.25,0.23469397882376222,2.0,8.0,2.933333333333333,1.569146972791976,44.0,-0.5274945597084546,28.7136089467821,9.512437577780908,13.582016584736037,0.3304025330575729,5.3870465945962165,2.302843497950813,2.2089852224452287,1.2276775019465804
11,625.0,6.437751649736401,3.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.25,0.0064,-5.051457288616511,156.25,5.051457288616511,0.0784,0.4608,0.3333333333333333,0.18026508875049052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.318116246441582
12,2000.0,7.600902459542082,10.0,216.0,5.375278407684165,0.0,0.0,0.0,0.0,0.0,0.0,216.0,1.0,216.0,0.004629629629629629,0.108,-2.2256240518579173,9.25925925925926,2.2256240518579173,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321928094887362
14,2000.0,7.600902459542082,10.0,76.0,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1.0,76.0,0.013157894736842105,0.038,-3.270169119255751,26.31578947368421,3.270169119255751,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321928094887362
16,2000.0,7.600902459542082,10.0,64.0,4.1588830833596715,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,64.0,0.015625,0.032,-3.4420193761824103,31.25,3.4420193761824107,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321928094887362
18,2000.0,7.600902459542082,10.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.16666666666666666,0.003,-5.809142990314028,333.3333333333333,5.809142990314028,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321928094887362
22,2000.0,7.600902459542082,10.0,47.0,3.8501476017100584,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,47.0,0.02127659574468085,0.0235,-3.750754857832024,42.5531914893617,3.750754857832024,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321928094887362
778,252.0,5.529429087511423,2.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,0.05555555555555555,-2.890371757896165,18.0,2.8903717578961645,0.49206349206349204,0.5079365079365079,0.5,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998182469603429
4134,3751.0,8.229777750081887,2.0,1776.0,7.4821189235521155,0.0,0.0,0.0,0.0,0.0,0.0,1776.0,1.0,1776.0,0.0005630630630630631,0.47347374033591044,-0.7476588265297719,2.1120495495495497,0.747658826529772,0.4577446014396161,0.5422553985603839,0.5,0.04225539856038388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9948419318795931
313,531.0,6.274762021241939,48.0,102.0,4.624972813284271,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.0,33.333333333333336,0.03,0.192090395480226,-1.6497892079576677,5.205882352941177,1.6497892079576677,0.0018832391713747645,0.10357815442561205,0.020833333333333332,0.025117915716346327,4.0,531.0,351.0,245.42344359630084,1053.0,-1.1759094350669053,295.4178983827949,8.73007991501211,29.353026177213593,-1.7622985060558656,15.379569975640283,1.123466328298487,2.285430939245404,4.692031507986511
