,NumberOfInstances,LogNumberOfInstances,NumberOfClasses,NumberOfFeatures,LogNumberOfFeatures,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfMissingValues,PercentageOfMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD
46,3190.0,8.06777619577889,3.0,61.0,4.110873864173311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.019122257053291535,-3.956902331605579,52.295081967213115,3.956902331605579,0.24043887147335424,0.5188087774294671,0.3333333333333333,0.13115100670438934
48,151.0,5.017279836814924,3.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.033112582781456956,-3.407841924380824,30.2,3.407841924380824,0.32450331125827814,0.3443708609271523,0.3333333333333333,0.008259729330626795
50,958.0,6.86484777797086,2.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.009394572025052192,-4.667623200634641,106.44444444444444,4.667623200634641,0.3465553235908142,0.6534446764091858,0.5,0.1534446764091858
53,270.0,5.598421958998375,2.0,13.0,2.5649493574615367,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,13.0,0.07692307692307693,0.04814814814814815,-3.033472601536838,20.76923076923077,3.033472601536838,0.4444444444444444,0.5555555555555556,0.5,0.05555555555555558
54,846.0,6.740519359606223,4.0,18.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,18.0,0.05555555555555555,0.02127659574468085,-3.8501476017100584,47.0,3.8501476017100584,0.23522458628841608,0.2576832151300236,0.25,0.00894370328039098
59,351.0,5.860786223465865,2.0,34.0,3.5263605246161616,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,34.0,0.029411764705882353,0.09686609686609686,-2.3344256988497043,10.323529411764707,2.3344256988497043,0.358974358974359,0.6410256410256411,0.5,0.14102564102564105
60,5000.0,8.517193191416238,3.0,40.0,3.6888794541139363,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,40.0,0.025,0.008,-4.8283137373023015,125.0,4.8283137373023015,0.3306,0.3384,0.3333333333333333,0.003586394041683389
61,150.0,5.0106352940962555,3.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.25,0.02666666666666667,-3.624340932976365,37.5,3.624340932976365,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
62,101.0,4.61512051684126,7.0,17.0,2.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.058823529411764705,17.0,0.16831683168316833,-1.7819071727850433,5.9411764705882355,1.7819071727850435,0.039603960396039604,0.40594059405940597,0.14285714285714285,0.11820414379505617
251,39366.0,10.580657778572933,2.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,9.0,0.1111111111111111,0.00022862368541380886,-8.383433201236713,4374.0,8.383433201236713,0.344104049179495,0.655895950820505,0.5,0.155895950820505
255,55296.0,10.920455852163727,3.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.25,4.0,0.00016276041666666666,-8.723231274827508,6144.0,8.723231274827508,0.22509765625,0.42619719328703703,0.3333333333333333,0.08281495646128881
24,8124.0,9.002577922700276,2.0,22.0,3.091042453358316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0027080256031511572,-5.91153546934196,369.27272727272725,5.91153546934196,0.48202855736090594,0.517971442639094,0.5,0.017971442639094032
23499,277.0,5.6240175061873385,2.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.032490974729241874,-3.4267929288511194,30.77777777777778,3.426792928851119,0.2924187725631769,0.7075812274368231,0.5,0.20758122743682308
119,55296.0,10.920455852163727,3.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.00016276041666666666,-8.723231274827508,6144.0,8.723231274827508,0.22705078125,0.4277886284722222,0.3333333333333333,0.082376508916784
125,295245.0,12.595560799115198,5.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.387017561686057e-05,-10.292975706121151,29524.5,10.292975706121151,0.005276973361106877,0.898274314552321,0.2,0.34961056285045916
478,500.0,6.214608098422191,15.0,23.0,3.1354942159291497,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,5.0,0.2,0.046,-3.079113882493042,21.73913043478261,3.079113882493042,0.012,0.16,0.06666666666666668,0.04104414967108251
480,61.0,4.110873864173311,4.0,18.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.1111111111111112,0.9,0.29508196721311475,-1.2205021062771466,3.388888888888889,1.2205021062771466,0.04918032786885246,0.639344262295082,0.25,0.23252554020498828
179,48842.0,10.79634587742716,2.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.15384615384615385,6.5,0.00028663854878997584,-8.157288547811902,3488.714285714286,8.157288547811902,0.23928176569346055,0.7607182343065395,0.5,0.26071823430653945
694,310.0,5.736572297479192,9.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.125,0.025806451612903226,-3.657130755799356,38.75,3.657130755799356,0.05806451612903226,0.13225806451612904,0.1111111111111111,0.02716458110608805
133,137781.0,11.8334207470683,7.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.532105297537396e-05,-9.63619616973208,15309.0,9.63619616973208,0.002228173695937756,0.350389386054681,0.14285714285714285,0.12913231948843049
137,39366.0,10.580657778572933,2.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.00022862368541380886,-8.383433201236713,4374.0,8.383433201236713,0.3471015597215872,0.6528984402784128,0.5,0.15289844027841282
259,295245.0,12.595560799115198,5.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,3.387017561686057e-05,-10.292975706121151,29524.5,10.292975706121151,0.005033108096665481,0.8981489949025385,0.19999999999999998,0.34955840437785274
143,131072.0,11.78350206951907,2.0,16.0,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0001220703125,-9.010913347279288,8192.0,9.010913347279288,0.38652801513671875,0.6134719848632812,0.5,0.11347198486328125
1527,3252.0,8.087025470667701,5.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.0009225092250922509,-6.988413181999592,1084.0,6.988413181999592,0.01783517835178352,0.9077490774907749,0.2,0.3538913190158662
151,45312.0,10.721327177053391,2.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.5,0.2857142857142857,0.00017655367231638418,-8.641885635373555,5664.0,8.641885635373555,0.4245453742937853,0.5754546257062146,0.5,0.07545462570621467
265,137781.0,11.8334207470683,7.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,9.0,0.1111111111111111,6.532105297537396e-05,-9.63619616973208,15309.0,9.63619616973208,0.0022717210645880055,0.35399655975787664,0.14285714285714285,0.1296454811682261
275,71.0,4.2626798770413155,6.0,62.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,62.0,0.016129032258064516,0.8732394366197183,-0.13554549199622393,1.1451612903225807,0.13554549199622395,0.028169014084507043,0.5915492957746479,0.16666666666666666,0.19658135323046325
276,74.0,4.30406509320417,4.0,62.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,62.0,0.016129032258064516,0.8378378378378378,-0.17693070815907821,1.1935483870967742,0.17693070815907824,0.04054054054054054,0.6756756756756757,0.25,0.2547037408779833
277,74.0,4.30406509320417,4.0,62.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,62.0,0.016129032258064516,0.8378378378378378,-0.17693070815907821,1.1935483870967742,0.17693070815907824,0.06756756756756757,0.6081081081081081,0.25,0.2111959406498349
278,74.0,4.30406509320417,4.0,62.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,62.0,0.016129032258064516,0.8378378378378378,-0.17693070815907821,1.1935483870967742,0.17693070815907824,0.04054054054054054,0.7297297297297297,0.25,0.27867014361217946
161,1000000.0,13.815510557964274,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,3e-06,-12.716898269296165,333333.3333333333,12.716898269296165,0.385658,0.614342,0.5,0.11434200000000003
162,1000000.0,13.815510557964274,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,3e-06,-12.716898269296165,333333.3333333333,12.716898269296165,0.385668,0.614332,0.5,0.11433199999999999
1,898.0,6.8001700683022,5.0,38.0,3.6375861597263857,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,0.18181818181818182,5.5,0.042316258351893093,-3.162583908575814,23.63157894736842,3.162583908575814,0.008908685968819599,0.7616926503340757,0.2,0.282828506918192
3,3196.0,8.069655306886165,2.0,36.0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.011264080100125156,-4.4861363684300555,88.77777777777777,4.4861363684300555,0.47778473091364204,0.522215269086358,0.5,0.02221526908635796
759,66.0,4.189654742026425,2.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,5.5,0.18181818181818182,0.18181818181818182,-1.7047480922384253,5.5,1.7047480922384253,0.5,0.5,0.5,0.0
6,20000.0,9.903487552536127,26.0,16.0,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,16.0,0.0625,0.0008,-7.1308988302963465,1250.0,7.1308988302963465,0.0367,0.04065,0.038461538461538464,0.0011362309228581885
10,148.0,4.997212273764115,4.0,18.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.1875,5.333333333333333,0.12162162162162163,-2.10684051586795,8.222222222222221,2.10684051586795,0.013513513513513514,0.5472972972972973,0.25,0.23469397882376222
11,625.0,6.437751649736401,3.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.25,0.0064,-5.051457288616511,156.25,5.051457288616511,0.0784,0.4608,0.3333333333333333,0.18026508875049052
12,2000.0,7.600902459542082,10.0,216.0,5.375278407684165,0.0,0.0,0.0,0.0,0.0,0.0,216.0,1.0,216.0,0.004629629629629629,0.108,-2.2256240518579173,9.25925925925926,2.2256240518579173,0.1,0.1,0.1,0.0
14,2000.0,7.600902459542082,10.0,76.0,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1.0,76.0,0.013157894736842105,0.038,-3.270169119255751,26.31578947368421,3.270169119255751,0.1,0.1,0.1,0.0
16,2000.0,7.600902459542082,10.0,64.0,4.1588830833596715,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,64.0,0.015625,0.032,-3.4420193761824103,31.25,3.4420193761824107,0.1,0.1,0.1,0.0
18,2000.0,7.600902459542082,10.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.16666666666666666,0.003,-5.809142990314028,333.3333333333333,5.809142990314028,0.1,0.1,0.1,0.0
20,2000.0,7.600902459542082,10.0,240.0,5.480638923341991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.12,-2.120263536200091,8.333333333333334,2.120263536200091,0.1,0.1,0.1,0.0
21,1728.0,7.454719949364001,4.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.003472222222222222,-5.662960480135946,288.0,5.662960480135946,0.03761574074074074,0.7002314814814815,0.25,0.2705162827472604
22,2000.0,7.600902459542082,10.0,47.0,3.8501476017100584,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,47.0,0.02127659574468085,0.0235,-3.750754857832024,42.5531914893617,3.750754857832024,0.1,0.1,0.1,0.0
778,252.0,5.529429087511423,2.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,0.05555555555555555,-2.890371757896165,18.0,2.8903717578961645,0.49206349206349204,0.5079365079365079,0.5,0.007936507936507936
26,12960.0,9.469622969906265,5.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0006172839506172839,-7.3901814282264295,1620.0,7.3901814282264295,0.00015432098765432098,0.3333333333333333,0.2,0.15327717978356098
4134,3751.0,8.229777750081887,2.0,1776.0,7.4821189235521155,0.0,0.0,0.0,0.0,0.0,0.0,1776.0,1.0,1776.0,0.0005630630630630631,0.47347374033591044,-0.7476588265297719,2.1120495495495497,0.747658826529772,0.4577446014396161,0.5422553985603839,0.5,0.04225539856038388
313,531.0,6.274762021241939,48.0,102.0,4.624972813284271,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.0,33.333333333333336,0.03,0.192090395480226,-1.6497892079576677,5.205882352941177,1.6497892079576677,0.0018832391713747645,0.10357815442561205,0.020833333333333332,0.025117915716346327
818,310.0,5.736572297479192,2.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.5,0.2857142857142857,0.025806451612903226,-3.657130755799356,38.75,3.657130755799356,0.46774193548387094,0.532258064516129,0.5,0.03225806451612903
164,106.0,4.663439094112067,2.0,58.0,4.060443010546419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.5471698113207547,-0.6029960835656478,1.8275862068965518,0.6029960835656478,0.5,0.5,0.5,0.0
187,178.0,5.181783550292085,3.0,13.0,2.5649493574615367,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,13.0,0.07692307692307693,0.07303370786516854,-2.6168341928305483,13.692307692307692,2.6168341928305483,0.2696629213483146,0.398876404494382,0.3333333333333333,0.05276780076256692
874,50.0,3.912023005428146,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.2,0.1,-2.3025850929940455,10.0,2.302585092994046,0.42,0.58,0.5,0.07999999999999999
880,284.0,5.648974238161206,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,0.035211267605633804,-3.3463891451671604,28.4,3.3463891451671604,0.5,0.5,0.5,0.0
885,131.0,4.875197323201151,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.022900763358778626,-3.776585034533042,43.666666666666664,3.7765850345330416,0.366412213740458,0.6335877862595419,0.5,0.13358778625954196
951,559.0,6.326149473155099,2.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.5,0.6666666666666666,0.007155635062611807,-4.939855112035208,139.75,4.939855112035208,0.023255813953488372,0.9767441860465116,0.5,0.4767441860465116
965,101.0,4.61512051684126,2.0,17.0,2.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.058823529411764705,17.0,0.16831683168316833,-1.7819071727850433,5.9411764705882355,1.7819071727850435,0.40594059405940597,0.594059405940594,0.5,0.09405940594059403
969,150.0,5.0106352940962555,2.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.25,0.02666666666666667,-3.624340932976365,37.5,3.624340932976365,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666
1176,3279.0,8.095293776844649,2.0,1558.0,7.351158226430694,0.0,0.0,0.0,0.0,0.0,0.0,1558.0,1.0,1558.0,0.0006418485237483953,0.4751448612381824,-0.7441355504139546,2.1046213093709882,0.7441355504139546,0.13998170173833485,0.8600182982616651,0.5,0.36001829826166515
901,40768.0,10.615652738931836,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,0.0002452904238618524,-8.313067645937789,4076.8,8.313067645937789,0.498945251177394,0.5010547488226059,0.5,0.0010547488226059498
4534,11055.0,9.310638093291546,2.0,30.0,3.4011973816621555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0027137042062415195,-5.909440711629391,368.5,5.909440711629391,0.44305744007236547,0.5569425599276345,0.5,0.05694255992763453
4550,1080.0,6.984716320118266,8.0,81.0,4.394449154672439,0.0,0.0,0.0,0.0,0.0,0.0,77.0,5.0,15.4,0.06493506493506493,0.075,-2.5902671654458267,13.333333333333334,2.5902671654458267,0.09722222222222222,0.1388888888888889,0.125,0.012028130608117206
4135,32769.0,10.397238225511654,2.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.00027464982147761604,-8.200013648175434,3641.0,8.200013648175434,0.05789007903811529,0.9421099209618847,0.5,0.44210992096188473
